,ID,Hotel_Name,Address,State,Tel_No,Rating,Price,Latitude,Longitude
0,0,"ALILA BANGSAR, KUALA LUMPUR","NO. 58, JALAN ANG SENG, 50470",Wilayah Persekutuan Kuala Lumpur,03-2282 5080,5,788,3.1277744,101.6801902
1,1,AVANI SEPANG GOLDCOAST RESORT,"No. 67 Jalan Pantai Bagan Lalang, Sg Pelek, 43950 Sepang",Selangor,03-3182 3600,5,757,2.629451,101.709655
2,2,AVILLION PORT DICKSON,"Lot 1273, 3rd, Jalan Pantai, 71000 Port Dickson",Negeri Sembilan,06-647 6688,5,624,2.5207171,101.8338187
3,3,BANGI RESORT HOTEL,"Off Persiaran Bandar, Bandar Baru Bangi, 43650 Bangi",Selangor,03-8210 2222,5,797,2.9452678,101.7650046
4,4,BANYAN TREE KUALA LUMPUR,"NO. 2, JALAN CONLAY, 50450",Wilayah Persekutuan Kuala Lumpur,03-21131888,5,776,3.1504944,101.7137683
5,5,BERJAYA LANGKAWI RESORT,"Karong Berkunci 200, Buray Bay, 07000 Langkawi",Kedah,04-959 1888,5,715,6.3186232,99.8508616
6,6,BERJAYA REDANG BEACH RESORT,"Pulau Redang, 20928 Kuala Terengganu",Terengganu,09-6971111,5,389,5.329624,103.1370142
7,7,BERJAYA TIMES SQUARE HOTEL KUALA LUMPUR,"No 1, Jalan Imbi, 55100 Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,03-2117 8000,5,690,3.1423189,101.7106022
8,8,CASA DEL RIO ,"88, Jalan Kota Laksamana, 75200 Melaka Tengah",Melaka,06-289 6888,5,562,2.1944399,102.2441021
9,9,CENTURY LANGKAWI BEACH RESORT,"Teluk Nibong, 07000 Langkawi",Kedah,04-955 1901,5,452,6.3605556,99.7011111
10,10,COUNTRY GARDEN FOREST CITY PHOENIX HOTEL,"PRESINT AURORA, JALAN FOREST CITY 1, PULAU SATU, FOREST CITY, 81550 GELANG PATAH",Johor,07-5053333,5,767,1.3389556,103.5932619
11,11,CROCKFORDS HOTEL,"RESORT WORLD GENTING, 69000 GENTING HIGHLANDS",Pahang,03 6101 1118,5,746,3.4235583,101.7916268
12,12,CROWNE PLAZA MUTIARA KUALA LUMPUR,"Jalan Sultan Ismail, 50250 Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,03-2148 2322,5,557,3.1552078,101.7055352
13,13,CYBERVIEW RESORT  SPA,"The Lodge, Persiaran Multimedia, Cyber 7, 63000 Cyberjaya",Selangor,03-8312 7000,5,688,2.9212264,101.6493963
14,14,DORSETT GRAND LABUAN,"462, Jalan Merdeka , 87029 Labuan ",Wilayah Persekutuan Labuan,087-422000,5,563,5.2753797,115.2475511
15,15,DORSETT GRAND SUBANG HOTEL,"Jalan SS 12/1, Subang Jaya, 41750 Petaling Jaya",Selangor,03-5031 6060,5,660,3.0792316,101.5951156
16,16,DORSETT PENANG HOTEL,"No.3, Jalan Larut, 10500 Georgetown",Pulau Pinang,04 - 2267888,5,732,5.4218958,100.3253637
17,17,DOUBLE TREE BY HILTON MELAKA,"HATTEN CITY, JALAN MELAKA RAYA, 75000",Melaka,06-222 3333,5,326,2.187545,102.255214
18,18,DOUBLETREE BY HILTON KUALA LUMPUR,"The Intermark, No. 348, Jalan Tun Razak, 50400 Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,03-2172 7272,5,379,3.1616636,101.720355
19,19,EASTERN  ORIENTAL HOTEL,"10, Leboh Farquhar, 10200 Georgetown",Pulau Pinang,04 - 222 2000,5,453,5.4233727,100.3356682
20,20,EASTIN HOTEL PETALING JAYA,"13, Jalan 16/11, Pusat Dagang Seksyen 16, 46350 Petaling Jaya",Selangor,03-76651111,5,724,3.1263276,101.6448004
21,21,EQ KUALA LUMPUR,"EQUATORIAL PLAZA, JALAN SULTAN ISMAIL, 50250",Wilayah Persekutuan Kuala Lumpur,03-2789 7777,5,713,3.1529563,101.7096486
22,22,EQUATORIAL HOTEL PENANG,"No.1, Jalan Bukit Jambul, 11900 Bayan Lepas",Pulau Pinang,04 - 632 7103,5,409,5.3370981,100.2849026
23,23,EVERGREEN LAUREL HOTEL PENANG,"53, Persiaran Gurney, 10250 Georgetown",Pulau Pinang,04 - 222 9988,5,346,5.4310982,100.317954
